niche,rank,institution,metric_value,metric_type,source_url,retrieved_date
se,1,Carnegie Mellon University,30.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,2,Univ. of California - Irvine,22.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,3,Univ. of Illinois at Urbana-Champaign,19.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,4,Purdue University,16.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,5,North Carolina State University,16.0,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,6,University of Texas at Dallas,15.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,7,University of Southern California,15.1,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,8,Univ. of Massachusetts Amherst,12.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,9,University of Virginia,11.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,10,College of William and Mary,11.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,11,Tulane University,10.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,12,Virginia Tech,10.1,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,13,Univ. of California - Los Angeles,9.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,14,University of Central Florida,9.2,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,15,George Mason University,8.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,16,NJIT,7.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,17,Northern Arizona University,7.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,18,Iowa State University,7.2,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,19,Univ. of California - Riverside,7.0,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,20,Columbia University,6.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,21,Texas A&amp;M University,6.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,22,University of Nebraska,6.6,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,23,Oregon State University,6.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,24,Univ. of California - Davis,6.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,25,Massachusetts Inst. of Technology,5.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,26,Northeastern University,5.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,26,University of Texas at San Antonio,5.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,28,Univ. of California - Berkeley,4.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,28,University of Colorado Boulder,4.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,30,Georgia Institute of Technology,4.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,30,University at Buffalo,4.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,32,Case Western Reserve University,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,32,Univ. of California - San Diego,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,32,University of Michigan,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
se,32,University of Notre Dame,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-12
