niche,rank,institution,metric_value,metric_type,source_url,retrieved_date
se,1,Carnegie Mellon University,30.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,2,Univ. of California - Irvine,22.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,3,Univ. of Illinois at Urbana-Champaign,19.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,4,Purdue University,16.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,5,North Carolina State University,16.0,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,6,University of Texas at Dallas,15.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,7,University of Southern California,15.1,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,8,Univ. of Massachusetts Amherst,12.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,9,University of Virginia,11.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,10,College of William and Mary,11.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,11,Tulane University,10.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,12,Virginia Tech,10.1,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,13,Univ. of California - Los Angeles,9.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,14,University of Central Florida,9.2,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,15,George Mason University,8.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,16,NJIT,7.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,17,Northern Arizona University,7.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,18,Iowa State University,7.2,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,19,Univ. of California - Riverside,7.0,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,20,Columbia University,6.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,21,Texas A&amp;M University,6.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,22,University of Nebraska,6.6,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,23,Oregon State University,6.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,24,Univ. of California - Davis,6.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,25,Massachusetts Inst. of Technology,5.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,26,Northeastern University,5.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,26,University of Texas at San Antonio,5.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,28,Univ. of California - Berkeley,4.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,28,University of Colorado Boulder,4.9,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,30,Georgia Institute of Technology,4.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,30,University at Buffalo,4.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,32,Case Western Reserve University,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,32,Univ. of California - San Diego,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,32,University of Michigan,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,32,University of Notre Dame,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,32,University of Texas at Austin,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,32,University of Washington,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,32,Vanderbilt University,4.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,39,Rutgers University,4.2,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,40,Cornell University,4.1,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,40,University of Chicago,4.1,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,40,University of Georgia,4.1,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,43,Oakland University,3.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,43,Univ. of California - Santa Barbara,3.7,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,45,Ohio State University,3.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,45,University of Utah,3.5,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,47,University of Texas - El Paso,3.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,47,University of Wisconsin - Madison,3.4,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,49,Rochester Inst. of Technology,3.3,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
se,50,University of Pennsylvania,3.2,csrankings_adjusted_count,https://csrankings.org/#/index?soft&us,2026-07-18
vision,1,Carnegie Mellon University,98.0,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,2,Univ. of California - San Diego,83.9,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,3,Univ. of Illinois at Urbana-Champaign,81.5,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,4,Univ. of California - Berkeley,75.6,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,5,Stanford University,74.6,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,6,Massachusetts Inst. of Technology,72.0,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,7,Univ. of Maryland - College Park,71.7,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,8,Johns Hopkins University,66.9,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,9,University of Central Florida,60.5,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
vision,10,University of Texas at Austin,60.2,csrankings_adjusted_count,https://csrankings.org/#/index?vision&us,2026-07-18
