model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,1,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Fred Brooks""]",1986,IFIPS Proceedings / IEEE Computer (1987 reprint),University of North Carolina at Chapel Hill
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,2,A Relational Model of Data for Large Shared Data Banks,"[""Edgar F. Codd""]",1970,Communications of the ACM,"IBM Research Laboratory, San Jose"
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,3,On the Criteria To Be Used in Decomposing Systems into Modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie Mellon University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,4,Structured Design,"[""W. Stevens"", ""G. Myers"", ""L. Constantine""]",1974,IBM Systems Journal,IBM
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,5,Managing the Development of Large Software Systems,"[""Winston W. Royce""]",1970,Proceedings of IEEE WESCON,TRW Systems
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,6,An Axiomatic Basis for Computer Programming,"[""C. A. R. Hoare""]",1969,Communications of the ACM,Queen's University Belfast
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,7,Design Patterns: Elements of Reusable Object-Oriented Software,"[""Erich Gamma"", ""Richard Helm"", ""Ralph Johnson"", ""John Vlissides""]",1994,Addison-Wesley (Book),University of Zurich
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,8,A Unified Framework for Version Modeling Using an Algebra of Elementary Objects,"[""Randy H. Katz""]",1990,ACM Computing Surveys,"University of California, Berkeley"
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,9,Software Aging,"[""David Lorge Parnas""]",1994,Proceedings of the 16th International Conference on Software Engineering (ICSE),McMaster University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,10,Empirical Studies of Programmers: Second Workshop,"[""Gary Olson"", ""Elliot Soloway""]",1987,Ablex Publishing (Workshop Proceedings),University of Michigan
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,11,A Metrics Suite for Object Oriented Design,"[""Shyam R. Chidamber"", ""Chris F. Kemerer""]",1994,IEEE Transactions on Software Engineering,MIT Sloan School of Management
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,12,Aspect-Oriented Programming,"[""Gregor Kiczales"", ""John Lamping"", ""Anurag Mendhekar"", ""Chris Maeda"", ""Cristina Lopes"", ""Jean-Marc Loingtier"", ""John Irwin""]",1997,Proceedings of ECOOP,Xerox PARC
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,13,Manifesto for Agile Software Development,"[""Kent Beck"", ""Mike Beedle"", ""Arie van Bennekum"", ""Alistair Cockburn"", ""Ward Cunningham"", ""Martin Fowler"", ""James Grenning"", ""Jim Highsmith"", ""Andrew Hunt"", ""Ron Jeffries"", ""Jon Kern"", ""Brian Marick"", ""Robert C. Martin"", ""Steve Mellor"", ""Ken Schwaber"", ""Jeff Sutherland"", ""Dave Thomas""]",2001,Online Manifesto (agilemanifesto.org),Independent Consultant (Three Rivers Institute)
