model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation,resolved_status,oa_title,oa_first_author,oa_institution,oa_country,oa_year,oa_id
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,1,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Frederick P. Brooks Jr.""]",1987,IEEE Computer,University of North Carolina at Chapel Hill,resolved,No Silver Bullet Essence and Accidents of Software Engineering,Brooks,North Carolina State University,US,1987,https://openalex.org/W2154774499
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,2,On the Criteria To Be Used in Decomposing Systems into Modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie Mellon University,resolved,On the criteria to be used in decomposing systems into modules,David Lorge Parnas,Carnegie Mellon University,US,1972,https://openalex.org/W2134119432
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,3,A Relational Model of Data for Large Shared Data Banks,"[""Edgar F. Codd""]",1970,Communications of the ACM,"IBM Research Laboratory, San Jose",resolved,A relational model of data for large shared data banks,E. F. Codd,IBM (United States),US,1970,https://openalex.org/W2185907055
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,4,Go To Statement Considered Harmful,"[""Edsger W. Dijkstra""]",1968,Communications of the ACM,Eindhoven University of Technology,resolved,Go to Statement Considered Harmful,Edsger W. Dijkstra,Eindhoven University of Technology,NL,2002,https://openalex.org/W2154403892
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,5,Design Patterns: Elements of Reusable Object-Oriented Software,"[""Erich Gamma"", ""Richard Helm"", ""Ralph Johnson"", ""John Vlissides""]",1994,Addison-Wesley (Book),University of Zurich (PhD work; published while at Taligent/consulting),no_affiliation,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,,,1994,https://openalex.org/W1649645444
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,6,Programming as Theory Building,"[""Peter Naur""]",1985,Microprocessing and Microprogramming,University of Copenhagen,no_affiliation,Programming as theory building,Peter Naur,,,1985,https://openalex.org/W2030836928
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,7,Structured Design,"[""W. Stevens"", ""G. Myers"", ""L. Constantine""]",1974,IBM Systems Journal,IBM,no_affiliation,Structured design,W. P. Stevens,,,1974,https://openalex.org/W2913217271
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,8,An Axiomatic Basis for Computer Programming,"[""C. A. R. Hoare""]",1969,Communications of the ACM,Queen's University Belfast,resolved,An axiomatic basis for computer programming,C. A. R. Hoare,Queen's University Belfast,GB,1969,https://openalex.org/W2987907651
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,9,Managing the Development of Large Software Systems,"[""Winston W. Royce""]",1970,Proceedings of IEEE WESCON,TRW Systems,no_affiliation,Managing the Development of Large Software Systems (1970),W. W. Royce,,,2021,https://openalex.org/W2095152777
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,10,A Spiral Model of Software Development and Enhancement,"[""Barry W. Boehm""]",1988,IEEE Computer,TRW Defense Systems Group / University of Southern California,resolved,A Spiral Model of Software Development and Enhancement,Barry Boehm,Defense Systems (United States),US,1995,https://openalex.org/W1538749659
