model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,1,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Frederick P. Brooks Jr.""]",1987,IEEE Computer,University of North Carolina at Chapel Hill
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,2,On the Criteria To Be Used in Decomposing Systems into Modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie Mellon University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,3,A Relational Model of Data for Large Shared Data Banks,"[""Edgar F. Codd""]",1970,Communications of the ACM,"IBM Research Laboratory, San Jose"
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,4,Go To Statement Considered Harmful,"[""Edsger W. Dijkstra""]",1968,Communications of the ACM,Eindhoven University of Technology
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,5,Design Patterns: Elements of Reusable Object-Oriented Software,"[""Erich Gamma"", ""Richard Helm"", ""Ralph Johnson"", ""John Vlissides""]",1994,Addison-Wesley (Book),University of Zurich (PhD work; published while at Taligent/consulting)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,6,Programming as Theory Building,"[""Peter Naur""]",1985,Microprocessing and Microprogramming,University of Copenhagen
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,7,Structured Design,"[""W. Stevens"", ""G. Myers"", ""L. Constantine""]",1974,IBM Systems Journal,IBM
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,8,An Axiomatic Basis for Computer Programming,"[""C. A. R. Hoare""]",1969,Communications of the ACM,Queen's University Belfast
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,9,Managing the Development of Large Software Systems,"[""Winston W. Royce""]",1970,Proceedings of IEEE WESCON,TRW Systems
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,10,A Spiral Model of Software Development and Enhancement,"[""Barry W. Boehm""]",1988,IEEE Computer,TRW Defense Systems Group / University of Southern California
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,11,Manifesto for Agile Software Development,"[""Kent Beck"", ""Mike Beedle"", ""Arie van Bennekum"", ""Alistair Cockburn"", ""Ward Cunningham"", ""Martin Fowler"", ""James Grenning"", ""Jim Highsmith"", ""Andrew Hunt"", ""Ron Jeffries"", ""Jon Kern"", ""Brian Marick"", ""Robert C. Martin"", ""Steve Mellor"", ""Ken Schwaber"", ""Jeff Sutherland"", ""Dave Thomas""]",2001,agilemanifesto.org (Online),"Independent consultant (Kent Beck at Snowbird, Utah meeting)"
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,12,Software Engineering Economics,"[""Barry W. Boehm""]",1981,Prentice-Hall (Book),TRW Defense Systems Group
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,13,Mythical Man-Month: Essays on Software Engineering,"[""Frederick P. Brooks Jr.""]",1975,Addison-Wesley (Book),University of North Carolina at Chapel Hill
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,14,Refactoring: Improving the Design of Existing Code,"[""Martin Fowler"", ""Kent Beck"", ""John Brant"", ""William Opdyke"", ""Don Roberts""]",1999,Addison-Wesley (Book),Independent consultant (ThoughtWorks)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s1,15,A Complexity Measure,"[""Thomas J. McCabe""]",1976,IEEE Transactions on Software Engineering,McCabe & Associates / U.S. Navy (contractor)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,1,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Frederick P. Brooks Jr.""]",1987,IEEE Computer,University of North Carolina at Chapel Hill
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,2,A Relational Model of Data for Large Shared Data Banks,"[""Edgar F. Codd""]",1970,Communications of the ACM,"IBM Research Laboratory, San Jose"
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,3,Go To Statement Considered Harmful,"[""Edsger W. Dijkstra""]",1968,Communications of the ACM,Eindhoven University of Technology
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,4,On the Criteria To Be Used in Decomposing Systems into Modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie Mellon University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,5,Design Patterns: Elements of Reusable Object-Oriented Software,"[""Erich Gamma"", ""Richard Helm"", ""Ralph Johnson"", ""John Vlissides""]",1994,Addison-Wesley (Book),University of Zurich (doctoral work; IBM Zurich Research Lab at time of publication)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,6,Managing the Development of Large Software Systems,"[""Winston W. Royce""]",1970,Proceedings of IEEE WESCON,TRW Systems
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,7,Structured Design,"[""W. Stevens"", ""G. Myers"", ""L. Constantine""]",1974,IBM Systems Journal,IBM
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,8,A Complexity Measure,"[""Thomas J. McCabe""]",1976,IEEE Transactions on Software Engineering,McCabe & Associates
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,9,Software Aging,"[""David Lorge Parnas""]",1994,Proceedings of the 16th International Conference on Software Engineering (ICSE),McMaster University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,10,Manifesto for Agile Software Development,"[""Kent Beck"", ""Mike Beedle"", ""Arie van Bennekum"", ""Alistair Cockburn"", ""Ward Cunningham"", ""Martin Fowler"", ""James Grenning"", ""Jim Highsmith"", ""Andrew Hunt"", ""Ron Jeffries"", ""Jon Kern"", ""Brian Marick"", ""Robert C. Martin"", ""Steve Mellor"", ""Ken Schwaber"", ""Jeff Sutherland"", ""Dave Thomas""]",2001,agilemanifesto.org (Online manifesto),Independent consultant (Three Rivers Institute)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,11,An Empirical Study of the Reliability of UNIX Utilities,"[""Barton P. Miller"", ""Lars Fredriksen"", ""Bryan So""]",1990,Communications of the ACM,University of Wisconsin–Madison
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,12,Refactoring: Improving the Design of Existing Code,"[""Martin Fowler"", ""Kent Beck"", ""John Brant"", ""William Opdyke"", ""Don Roberts""]",1999,Addison-Wesley (Book),Independent consultant (ThoughtWorks)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,13,Extreme Programming Explained: Embrace Change,"[""Kent Beck""]",1999,Addison-Wesley (Book),Independent consultant (Three Rivers Institute)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,14,A Survey of Software Testing,"[""Elaine J. Weyuker"", ""Phyllis G. Frankl""]",1988,IEEE Computer,New York University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s2,15,The UNIX Time-Sharing System,"[""Dennis M. Ritchie"", ""Ken Thompson""]",1974,Communications of the ACM,Bell Telephone Laboratories
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,1,No Silver Bullet: Essence and Accidents of Software Engineering,"[""Fred Brooks""]",1987,IEEE Computer,University of North Carolina at Chapel Hill
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,2,A Relational Model of Data for Large Shared Data Banks,"[""Edgar F. Codd""]",1970,Communications of the ACM,"IBM Research Laboratory, San Jose"
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,3,Design Patterns: Elements of Reusable Object-Oriented Software,"[""Erich Gamma"", ""Richard Helm"", ""Ralph Johnson"", ""John Vlissides""]",1994,Addison-Wesley (Book),University of Zurich (doctoral work; working at Taligent/IBM at publication)
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,4,Goto Statement Considered Harmful,"[""Edsger W. Dijkstra""]",1968,Communications of the ACM,Eindhoven University of Technology
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,5,On the Criteria To Be Used in Decomposing Systems into Modules,"[""David L. Parnas""]",1972,Communications of the ACM,Carnegie Mellon University
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,6,Managing the Development of Large Software Systems,"[""Winston W. Royce""]",1970,Proceedings of IEEE WESCON,TRW Systems
claude-sonnet-4-6,anthropic,SE_PAPERS,imp01-s3,7,Manifesto for Agile Software Development,"[""Kent Beck"", ""Mike Beedle"", ""Arie van Bennekum"", ""Alistair Cockburn"", ""Ward Cunningham"", ""Martin Fowler"", ""James Grenning"", ""Jim Highsmith"", ""Andrew Hunt"", ""Ron Jeffries"", ""Jon Kern"", ""Brian Marick"", ""Robert C. Martin"", ""Steve Mellor"", ""Ken Schwaber"", ""Jeff Sutherland"", ""Dave Thomas""]",2001,agilemanifesto.org (online publication),Independent consultant (ThreeRivers Institute)
