model,domain,count
claude-sonnet-4-6,arxiv.org,10
claude-sonnet-4-6,doi.org,8
claude-sonnet-4-6,github.com,4
claude-sonnet-4-6,cocodataset.org,1
claude-sonnet-4-6,swebench.com,1
gemini-3.1-pro-preview,doi.org,10
gemini-3.1-pro-preview,arxiv.org,9
gemini-3.1-pro-preview,github.com,1
gpt-5.4,doi.org,9
gpt-5.4,openaccess.thecvf.com,6
gpt-5.4,link.springer.com,2
gpt-5.4,arxiv.org,1
gpt-5.4,github.com,1
gpt-5.4,host.robots.ox.ac.uk,1
gpt-5.4,papers.nips.cc,1
qwen2.5:3b,arxiv.org,7
qwen2.5:3b,dl.acm.org,2
qwen2.5:3b,ieeexplore.ieee.org,1
