model,niche,scope,institution_normalized,mention_count,observed_share,benchmark_share,overrepresentation_ratio
claude-sonnet-4-6,se,open,Purdue University,15,0.2459016393442623,0.04166666666666667,5.9016393442622945
claude-sonnet-4-6,se,open,University of Texas at Austin,4,0.06557377049180328,0.011247443762781187,5.8301043219076005
claude-sonnet-4-6,se,open,Massachusetts Inst. of Technology,4,0.06557377049180328,0.013803680981595094,4.750455373406193
claude-sonnet-4-6,se,open,University of Washington,3,0.04918032786885246,0.011247443762781187,4.3725782414307
claude-sonnet-4-6,se,open,Univ. of Illinois at Urbana-Champaign,11,0.18032786885245902,0.04959100204498977,3.636302180158865
claude-sonnet-4-6,se,open,Carnegie Mellon University,15,0.2459016393442623,0.07745398773006136,3.1748092842071087
claude-sonnet-4-6,se,open,North Carolina State University,3,0.04918032786885246,0.0408997955010225,1.2024590163934425
claude-sonnet-4-6,se,open,University of Southern California,2,0.03278688524590164,0.03859918200408998,0.8494191727282597
claude-sonnet-4-6,se,open,Univ. of California - Irvine,3,0.04918032786885246,0.05802658486707567,0.8475482053874485
claude-sonnet-4-6,se,open,University of Virginia,1,0.01639344262295082,0.029907975460122697,0.5481294661622531
claude-sonnet-4-6,se,us,University of Washington,1,0.06666666666666667,0.011247443762781187,5.927272727272727
claude-sonnet-4-6,se,us,University of Texas at Austin,1,0.06666666666666667,0.011247443762781187,5.927272727272727
claude-sonnet-4-6,se,us,University of Michigan,1,0.06666666666666667,0.011247443762781187,5.927272727272727
claude-sonnet-4-6,se,us,Georgia Institute of Technology,1,0.06666666666666667,0.012014314928425359,5.548936170212765
claude-sonnet-4-6,se,us,Columbia University,1,0.06666666666666667,0.017638036809815953,3.779710144927536
claude-sonnet-4-6,se,us,Carnegie Mellon University,4,0.26666666666666666,0.07745398773006136,3.4429042904290426
claude-sonnet-4-6,se,us,North Carolina State University,2,0.13333333333333333,0.0408997955010225,3.26
claude-sonnet-4-6,se,us,Purdue University,2,0.13333333333333333,0.04166666666666667,3.1999999999999997
claude-sonnet-4-6,se,us,University of Southern California,1,0.06666666666666667,0.03859918200408998,1.7271523178807946
claude-sonnet-4-6,se,us,Univ. of California - Irvine,1,0.06666666666666667,0.05802658486707567,1.1488986784140969
gemini-3.1-pro-preview,se,open,University of Washington,5,0.08064516129032258,0.011247443762781187,7.170087976539589
gemini-3.1-pro-preview,se,open,Purdue University,17,0.27419354838709675,0.04166666666666667,6.580645161290321
gemini-3.1-pro-preview,se,open,University of Texas at Austin,4,0.06451612903225806,0.011247443762781187,5.736070381231671
gemini-3.1-pro-preview,se,open,Georgia Institute of Technology,4,0.06451612903225806,0.012014314928425359,5.36993822923816
gemini-3.1-pro-preview,se,open,Univ. of Illinois at Urbana-Champaign,8,0.12903225806451613,0.04959100204498977,2.601928832723645
gemini-3.1-pro-preview,se,open,North Carolina State University,6,0.0967741935483871,0.0408997955010225,2.366129032258064
gemini-3.1-pro-preview,se,open,Carnegie Mellon University,10,0.16129032258064516,0.07745398773006136,2.082401788565953
gemini-3.1-pro-preview,se,open,University of Virginia,3,0.04838709677419355,0.029907975460122697,1.6178660049627793
gemini-3.1-pro-preview,se,open,Massachusetts Inst. of Technology,1,0.016129032258064516,0.013803680981595094,1.1684587813620069
gemini-3.1-pro-preview,se,open,Univ. of California - Irvine,3,0.04838709677419355,0.05802658486707567,0.8338780730424896
gemini-3.1-pro-preview,se,open,University of Southern California,1,0.016129032258064516,0.03859918200408998,0.4178594317453535
gemini-3.1-pro-preview,se,us,Purdue University,4,0.26666666666666666,0.04166666666666667,6.3999999999999995
gemini-3.1-pro-preview,se,us,University of Washington,1,0.06666666666666667,0.011247443762781187,5.927272727272727
