niche,institution_normalized,claude-sonnet-4-6,gemini-3.1-pro-preview,gpt-5.4,qwen2.5:3b,baseline_rank
se,Carnegie Mellon University,7.142857142857143,5.75,4.833333333333333,9.444444444444445,1
se,Univ. of California - Irvine,1.3333333333333333,8.666666666666666,,3.857142857142857,2
se,Univ. of Illinois at Urbana-Champaign,10.833333333333334,4.333333333333333,9.11111111111111,8.25,3
se,Purdue University,8.5,8.8125,8.555555555555555,8.857142857142858,4
se,North Carolina State University,11.0,9.666666666666666,10.2,2.75,5
se,University of Southern California,14.0,15.0,,7.75,7
se,Univ. of Massachusetts Amherst,,12.0,,,8
se,Virginia Tech,,,12.0,,12
se,Columbia University,9.0,,,,20
se,Massachusetts Inst. of Technology,2.0,4.0,3.0,,25
se,Northeastern University,,,,10.0,26
se,Georgia Institute of Technology,7.0,10.0,7.0,11.0,30
se,University of Michigan,12.0,13.0,14.0,12.0,32
se,University of Washington,7.0,4.75,5.333333333333333,8.25,32
se,University of Texas at Austin,7.75,12.5,9.0,8.333333333333334,32
vision,Carnegie Mellon University,7.125,7.5,5.4,9.142857142857142,1
vision,Univ. of California - San Diego,12.0,11.0,7.333333333333333,9.142857142857142,2
vision,Univ. of Illinois at Urbana-Champaign,9.75,9.5,11.666666666666666,10.6,3
vision,Univ. of California - Berkeley,8.0,,,,4
vision,Stanford University,5.777777777777778,7.615384615384615,6.583333333333333,7.3076923076923075,5
vision,Massachusetts Inst. of Technology,6.25,5.75,3.75,1.0,6
vision,Johns Hopkins University,,15.0,,,8
vision,University of Central Florida,10.333333333333334,8.75,9.0,5.0,9
vision,University of Texas at Austin,12.0,8.0,14.0,10.0,10
vision,Cornell University,9.0,10.5,6.0,,11
vision,Georgia Institute of Technology,7.0,14.0,7.0,9.5,18
vision,Princeton University,11.0,,15.0,,19
vision,University of Washington,12.0,12.0,10.0,7.25,22
vision,Columbia University,,13.0,13.0,7.5,24
vision,University of Michigan,11.0,9.5,8.0,,27
vision,Oregon State University,13.0,,,,30
vision,Univ. of California - Los Angeles,14.0,10.0,11.0,8.0,32
vision,Brown University,15.0,,14.0,5.0,33
vision,University of Southern California,,,,13.0,34
vision,Rice University,,,,12.0,41
vision,University of Utah,,8.0,11.0,,46
vision,Duke University,,,,15.0,47
vision,Northwestern University,,,,14.0,48
