model,niche,run_id,institution_normalized,count,sample_rank
claude-sonnet-4-6,se,imp01-s1,Carnegie Mellon University,1,3.0
claude-sonnet-4-6,se,imp01-s1,North Carolina State University,1,3.0
claude-sonnet-4-6,se,imp01-s1,Univ. of California - Berkeley,1,3.0
claude-sonnet-4-6,se,imp01-s1,Univ. of California - San Diego,1,3.0
claude-sonnet-4-6,se,imp01-s1,University of Michigan,1,3.0
claude-sonnet-4-6,se,imp01-s2,Carnegie Mellon University,1,2.5
claude-sonnet-4-6,se,imp01-s2,North Carolina State University,1,2.5
claude-sonnet-4-6,se,imp01-s2,Univ. of California - Irvine,1,2.5
claude-sonnet-4-6,se,imp01-s2,University of Virginia,1,2.5
claude-sonnet-4-6,se,imp01-s3,Carnegie Mellon University,1,2.5
claude-sonnet-4-6,se,imp01-s3,Massachusetts Inst. of Technology,1,2.5
claude-sonnet-4-6,se,imp01-s3,North Carolina State University,1,2.5
claude-sonnet-4-6,se,imp01-s3,University of Wisconsin - Madison,1,2.5
claude-sonnet-4-6,vision,imp01-s1,Cornell University,1,1.5
claude-sonnet-4-6,vision,imp01-s1,Stanford University,1,1.5
claude-sonnet-4-6,vision,imp01-s2,Stanford University,1,1.0
claude-sonnet-4-6,vision,imp01-s3,Cornell University,2,1.0
claude-sonnet-4-6,vision,imp01-s3,Stanford University,1,2.5
claude-sonnet-4-6,vision,imp01-s3,University of Washington,1,2.5
gemini-3.1-pro-preview,se,imp01-s1,Carnegie Mellon University,2,1.0
gemini-3.1-pro-preview,se,imp01-s1,North Carolina State University,1,3.0
gemini-3.1-pro-preview,se,imp01-s1,University of Southern California,1,3.0
gemini-3.1-pro-preview,se,imp01-s1,University of Virginia,1,3.0
gemini-3.1-pro-preview,se,imp01-s2,Carnegie Mellon University,1,2.5
gemini-3.1-pro-preview,se,imp01-s2,Georgia Institute of Technology,1,2.5
gemini-3.1-pro-preview,se,imp01-s2,North Carolina State University,1,2.5
gemini-3.1-pro-preview,se,imp01-s2,University of Colorado Boulder,1,2.5
gemini-3.1-pro-preview,se,imp01-s3,Carnegie Mellon University,2,1.0
gemini-3.1-pro-preview,se,imp01-s3,North Carolina State University,1,2.5
gemini-3.1-pro-preview,se,imp01-s3,University of Colorado Boulder,1,2.5
gemini-3.1-pro-preview,vision,imp01-s1,Massachusetts Inst. of Technology,1,1.5
gemini-3.1-pro-preview,vision,imp01-s1,University of Washington,1,1.5
gemini-3.1-pro-preview,vision,imp01-s2,Massachusetts Inst. of Technology,1,1.5
gemini-3.1-pro-preview,vision,imp01-s2,University of Washington,1,1.5
gemini-3.1-pro-preview,vision,imp01-s3,Massachusetts Inst. of Technology,1,2.0
gemini-3.1-pro-preview,vision,imp01-s3,Princeton University,1,2.0
gemini-3.1-pro-preview,vision,imp01-s3,University of Washington,1,2.0
gpt-5.4,se,imp01-s1,North Carolina State University,1,2.0
gpt-5.4,se,imp01-s1,University of Virginia,1,2.0
gpt-5.4,se,imp01-s1,University of Wisconsin - Madison,1,2.0
gpt-5.4,se,imp01-s2,Carnegie Mellon University,1,2.0
gpt-5.4,se,imp01-s2,North Carolina State University,1,2.0
gpt-5.4,se,imp01-s2,University of Wisconsin - Madison,1,2.0
gpt-5.4,se,imp01-s3,Carnegie Mellon University,1,2.0
gpt-5.4,se,imp01-s3,North Carolina State University,1,2.0
gpt-5.4,se,imp01-s3,University of Virginia,1,2.0
gpt-5.4,vision,imp01-s1,Cornell University,1,2.0
gpt-5.4,vision,imp01-s1,New York University,1,2.0
gpt-5.4,vision,imp01-s1,University of Washington,1,2.0
gpt-5.4,vision,imp01-s2,Cornell University,1,2.0
gpt-5.4,vision,imp01-s2,Massachusetts Inst. of Technology,1,2.0
gpt-5.4,vision,imp01-s2,University of Washington,1,2.0
gpt-5.4,vision,imp01-s3,Carnegie Mellon University,1,1.5
gpt-5.4,vision,imp01-s3,University of Washington,1,1.5
qwen2.5:3b,se,imp01-s2,University of Southern California,1,1.0
qwen2.5:3b,se,imp01-s3,Massachusetts Inst. of Technology,1,1.5
qwen2.5:3b,se,imp01-s3,Univ. of California - Riverside,1,1.5
qwen2.5:3b,se,imp01-s5,Georgia Institute of Technology,1,2.0
qwen2.5:3b,se,imp01-s5,Univ. of California - Berkeley,2,1.0
qwen2.5:3b,vision,imp01-s1,Brown University,12,1.0
qwen2.5:3b,vision,imp01-s2,California Inst. of Technology,1,2.5
qwen2.5:3b,vision,imp01-s2,Massachusetts Inst. of Technology,2,1.0
qwen2.5:3b,vision,imp01-s2,University of Southern California,1,2.5
qwen2.5:3b,vision,imp01-s3,University of Texas at Austin,1,1.0
qwen2.5:3b,vision,imp01-s4,Dartmouth College,1,2.5
qwen2.5:3b,vision,imp01-s4,University of Southern California,1,2.5
qwen2.5:3b,vision,imp01-s4,University of Texas at Austin,2,1.0
qwen2.5:3b,vision,imp01-s5,Duke University,1,2.0
qwen2.5:3b,vision,imp01-s5,Massachusetts Inst. of Technology,1,2.0
qwen2.5:3b,vision,imp01-s5,Purdue University,1,2.0
