model,niche,gt,institution_normalized,paper_count,derived_rank,baseline_rank_avg,rank_deviation
claude-sonnet-4-6,se,niche,Carnegie Mellon University,3,1.5,1.0,0.5
claude-sonnet-4-6,se,niche,North Carolina State University,3,1.5,5.0,-3.5
claude-sonnet-4-6,se,niche,University of Wisconsin - Madison,2,3.0,47.5,-44.5
claude-sonnet-4-6,se,niche,Massachusetts Inst. of Technology,1,4.0,25.0,-21.0
claude-sonnet-4-6,se,overall,Carnegie Mellon University,3,1.5,1.0,0.5
claude-sonnet-4-6,se,overall,North Carolina State University,3,1.5,39.0,-37.5
claude-sonnet-4-6,se,overall,University of Wisconsin - Madison,2,3.0,16.0,-13.0
claude-sonnet-4-6,se,overall,Massachusetts Inst. of Technology,1,5.0,5.0,0.0
claude-sonnet-4-6,se,overall,New York University,1,5.0,14.5,-9.5
claude-sonnet-4-6,se,overall,Stanford University,1,5.0,12.0,-7.0
claude-sonnet-4-6,vision,niche,Stanford University,3,1.0,5.0,-4.0
claude-sonnet-4-6,vision,niche,Cornell University,1,2.5,11.0,-8.5
claude-sonnet-4-6,vision,niche,University of Washington,1,2.5,22.0,-19.5
claude-sonnet-4-6,vision,overall,Stanford University,3,1.0,12.0,-11.0
claude-sonnet-4-6,vision,overall,Cornell University,1,2.5,8.5,-6.0
claude-sonnet-4-6,vision,overall,University of Washington,1,2.5,6.5,-4.0
gemini-3.1-pro-preview,se,niche,Carnegie Mellon University,5,1.0,1.0,0.0
gemini-3.1-pro-preview,se,niche,North Carolina State University,3,2.0,5.0,-3.0
gemini-3.1-pro-preview,se,niche,University of Colorado Boulder,2,3.0,28.5,-25.5
gemini-3.1-pro-preview,se,niche,Georgia Institute of Technology,1,5.0,30.5,-25.5
gemini-3.1-pro-preview,se,niche,Univ. of Illinois at Urbana-Champaign,1,5.0,3.0,2.0
gemini-3.1-pro-preview,se,niche,University of Virginia,1,5.0,9.0,-4.0
gemini-3.1-pro-preview,se,overall,Carnegie Mellon University,5,1.5,1.0,0.5
gemini-3.1-pro-preview,se,overall,Univ. of Maryland - College Park,5,1.5,8.5,-7.0
gemini-3.1-pro-preview,se,overall,North Carolina State University,3,3.0,39.0,-36.0
gemini-3.1-pro-preview,se,overall,University of Colorado Boulder,2,4.0,49.5,-45.5
gemini-3.1-pro-preview,se,overall,Georgia Institute of Technology,1,6.5,4.0,2.5
gemini-3.1-pro-preview,se,overall,Stanford University,1,6.5,12.0,-5.5
gemini-3.1-pro-preview,se,overall,Univ. of Illinois at Urbana-Champaign,1,6.5,2.0,4.5
gemini-3.1-pro-preview,se,overall,University of Virginia,1,6.5,27.0,-20.5
gemini-3.1-pro-preview,vision,niche,Massachusetts Inst. of Technology,3,2.0,6.0,-4.0
gemini-3.1-pro-preview,vision,niche,Princeton University,3,2.0,19.0,-17.0
gemini-3.1-pro-preview,vision,niche,University of Washington,3,2.0,22.0,-20.0
gemini-3.1-pro-preview,vision,niche,Carnegie Mellon University,1,4.0,1.0,3.0
gemini-3.1-pro-preview,vision,overall,Massachusetts Inst. of Technology,3,2.0,5.0,-3.0
gemini-3.1-pro-preview,vision,overall,Princeton University,3,2.0,17.0,-15.0
gemini-3.1-pro-preview,vision,overall,University of Washington,3,2.0,6.5,-4.5
gemini-3.1-pro-preview,vision,overall,Carnegie Mellon University,1,4.0,1.0,3.0
gpt-5.4,se,niche,North Carolina State University,3,1.0,5.0,-4.0
gpt-5.4,se,niche,Carnegie Mellon University,2,2.0,1.0,1.0
gpt-5.4,se,niche,University of Virginia,1,3.5,9.0,-5.5
gpt-5.4,se,niche,University of Wisconsin - Madison,1,3.5,47.5,-44.0
gpt-5.4,se,overall,North Carolina State University,3,1.5,39.0,-37.5
gpt-5.4,se,overall,Univ. of Maryland - College Park,3,1.5,8.5,-7.0
gpt-5.4,se,overall,Carnegie Mellon University,2,3.0,1.0,2.0
gpt-5.4,se,overall,Stanford University,1,5.0,12.0,-7.0
gpt-5.4,se,overall,University of Virginia,1,5.0,27.0,-22.0
gpt-5.4,se,overall,University of Wisconsin - Madison,1,5.0,16.0,-11.0
gpt-5.4,vision,niche,New York University,3,1.5,26.0,-24.5
gpt-5.4,vision,niche,University of Washington,3,1.5,22.0,-20.5
gpt-5.4,vision,niche,Carnegie Mellon University,1,3.0,1.0,2.0
gpt-5.4,vision,overall,New York University,3,1.5,14.5,-13.0
gpt-5.4,vision,overall,University of Washington,3,1.5,6.5,-5.0
gpt-5.4,vision,overall,Carnegie Mellon University,1,4.0,1.0,3.0
gpt-5.4,vision,overall,Harvard University,1,4.0,39.0,-35.0
gpt-5.4,vision,overall,University of Chicago,1,4.0,24.5,-20.5
qwen2.5:3b,se,niche,Univ. of California - Berkeley,2,1.0,28.5,-27.5
qwen2.5:3b,se,niche,Georgia Institute of Technology,1,3.5,30.5,-27.0
qwen2.5:3b,se,niche,Massachusetts Inst. of Technology,1,3.5,25.0,-21.5
qwen2.5:3b,se,niche,Ohio State University,1,3.5,45.5,-42.0
qwen2.5:3b,se,niche,University of Washington,1,3.5,35.0,-31.5
qwen2.5:3b,se,overall,Univ. of California - Berkeley,2,1.5,6.5,-5.0
qwen2.5:3b,se,overall,University of Illinois at Chicago,2,1.5,42.0,-40.5
qwen2.5:3b,se,overall,Georgia Institute of Technology,1,4.5,4.0,0.5
qwen2.5:3b,se,overall,Massachusetts Inst. of Technology,1,4.5,5.0,-0.5
qwen2.5:3b,se,overall,Ohio State University,1,4.5,47.5,-43.0
qwen2.5:3b,se,overall,University of Washington,1,4.5,6.5,-2.0
qwen2.5:3b,vision,niche,Brown University,12,1.0,33.0,-32.0
qwen2.5:3b,vision,niche,Massachusetts Inst. of Technology,3,2.5,6.0,-3.5
qwen2.5:3b,vision,niche,University of Texas at Austin,3,2.5,10.0,-7.5
qwen2.5:3b,vision,niche,University of Southern California,2,4.0,34.5,-30.5
qwen2.5:3b,vision,niche,California Inst. of Technology,1,6.5,34.5,-28.0
qwen2.5:3b,vision,niche,Dartmouth College,1,6.5,38.0,-31.5
qwen2.5:3b,vision,niche,Duke University,1,6.5,47.0,-40.5
qwen2.5:3b,vision,niche,Purdue University,1,6.5,43.0,-36.5
qwen2.5:3b,vision,overall,Massachusetts Inst. of Technology,3,1.5,5.0,-3.5
qwen2.5:3b,vision,overall,University of Texas at Austin,3,1.5,14.5,-13.0
qwen2.5:3b,vision,overall,University of Southern California,2,3.0,21.0,-18.0
qwen2.5:3b,vision,overall,Duke University,1,4.5,30.5,-26.0
qwen2.5:3b,vision,overall,Purdue University,1,4.5,13.0,-8.5
