rank,institution,country,count,faculty
1,Carnegie Mellon University,United States,98.0,29
2,Univ. of California - San Diego,United States,83.9,31
3,Univ. of Illinois at Urbana-Champaign,United States,81.5,30
4,Univ. of California - Berkeley,United States,75.6,25
5,Stanford University,United States,74.6,23
6,Massachusetts Inst. of Technology,United States,72.0,36
7,Univ. of Maryland - College Park,United States,71.7,25
8,Johns Hopkins University,United States,66.9,20
9,University of Central Florida,United States,60.5,22
10,University of Texas at Austin,United States,60.2,20
11,Cornell University,United States,58.3,26
12,Boston University,United States,49.9,10
13,University of North Carolina,United States,46.5,12
14,University of Wisconsin - Madison,United States,44.1,15
15,Northeastern University,United States,41.5,16
16,University of Pennsylvania,United States,39.5,23
17,Univ. of California - Merced,United States,37.3,5
18,Georgia Institute of Technology,United States,35.0,30
19,Princeton University,United States,33.5,12
20,University at Buffalo,United States,29.5,15
21,University of Rochester,United States,29.2,7
22,University of Washington,United States,28.3,21
23,Univ. of Massachusetts Amherst,United States,28.2,11
24,Columbia University,United States,28.1,12
25,Stony Brook University,United States,28.0,18
26,New York University,United States,27.9,18
27,University of Michigan,United States,26.1,19
28,Michigan State University,United States,24.0,10
29,Rutgers University,United States,23.5,8
30,Oregon State University,United States,22.5,6
31,Univ. of California - Irvine,United States,22.4,13
32,Univ. of California - Los Angeles,United States,21.8,12
33,Brown University,United States,19.6,9
34,California Inst. of Technology,United States,18.8,7
34,University of Southern California,United States,18.8,17
36,Univ. of California - Riverside,United States,18.7,13
37,University of Illinois at Chicago,United States,18.6,7
38,Dartmouth College,United States,17.9,7
39,Texas A&amp;M University,United States,17.7,14
39,University of Minnesota,United States,17.7,12
41,Rice University,United States,17.4,12
42,Univ. of California - Santa Barbara,United States,17.1,10
43,Purdue University,United States,14.8,16
44,Arizona State University,United States,14.7,13
45,University of Texas at Dallas,United States,13.5,9
46,University of Utah,United States,13.4,13
47,Duke University,United States,11.8,13
48,Northwestern University,United States,11.6,9
49,Wayne State University,United States,11.2,6
50,Pennsylvania State University,United States,11.0,11
51,UNC - Charlotte,United States,10.6,9
52,Univ. of California - Santa Cruz,United States,10.5,6
53,TTI Chicago,United States,10.3,6
54,Rochester Inst. of Technology,United States,9.6,11
55,Portland State University,United States,9.5,3
56,Univ. of California - Davis,United States,9.1,8
56,University of Virginia,United States,9.1,13
58,Virginia Tech,United States,8.5,9
59,University of South Florida,United States,8.4,9
60,Harvard University,United States,8.0,5
60,Stevens Institute of Technology,United States,8.0,6
62,University of Chicago,United States,7.9,10
63,Tulane University,United States,7.2,4
64,Binghamton University,United States,6.9,6
64,University of Colorado Boulder,United States,6.9,4
66,Washington University in St. Louis,United States,6.8,7
67,University of South Carolina,United States,6.7,2
68,Drexel University,United States,6.4,3
69,University of North Texas,United States,6.2,8
70,Clemson University,United States,6.0,9
70,West Virginia University,United States,6.0,4
72,Auburn University,United States,5.8,4
72,George Mason University,United States,5.8,8
74,College of William and Mary,United States,5.7,5
74,University of Delaware,United States,5.7,4
76,Yale University,United States,5.6,6
77,University of Pittsburgh,United States,5.5,4
78,Ohio State University,United States,5.3,8
79,University of Texas at Arlington,United States,5.2,6
80,Indiana University,United States,5.1,7
81,Florida State University,United States,4.9,3
82,Vanderbilt University,United States,4.8,7
83,Syracuse University,United States,4.4,3
84,University of Connecticut,United States,4.3,6
85,University of Georgia,United States,4.2,6
86,University of Missouri,United States,4.1,1
87,Louisiana State University,United States,3.8,2
87,University of Cincinnati,United States,3.8,4
89,CUNY,United States,3.7,5
89,University of Nevada,United States,3.7,4
91,Illinois Institute of Technology,United States,3.6,2
91,UCCS,United States,3.6,2
91,University at Albany - SUNY,United States,3.6,1
94,George Washington University,United States,3.5,2
94,Oakland University,United States,3.5,2
94,Temple University,United States,3.5,5
97,Lehigh University,United States,3.4,3
97,Univ. of Maryland - Baltimore County,United States,3.4,3
97,University of Florida,United States,3.4,2
97,University of Notre Dame,United States,3.4,7
101,Cleveland State University,United States,3.3,4
102,Brandeis University,United States,3.2,3
102,University of Houston,United States,3.2,5
104,North Carolina State University,United States,2.9,4
104,Tufts University,United States,2.9,3
106,Boston College,United States,2.7,1
106,University of Tennessee,United States,2.7,3
108,University of Massachusetts Lowell,United States,2.6,2
108,University of Memphis,United States,2.6,2
110,NJIT,United States,2.5,6
110,University of Kentucky,United States,2.5,1
112,Case Western Reserve University,United States,2.4,3
112,University of Oregon,United States,2.4,2
114,University of Iowa,United States,2.3,3
115,Colorado State University,United States,2.1,4
115,Florida International University,United States,2.1,3
115,Washington State University,United States,2.1,1
118,Brigham Young University,United States,2.0,4
118,Emory University,United States,2.0,3
118,Georgia State University,United States,2.0,3
121,Georgetown University,United States,1.9,1
121,Missouri S&amp;T,United States,1.9,1
121,Texas State University,United States,1.9,2
121,University of Arizona,United States,1.9,2
121,University of Rhode Island,United States,1.9,2
121,Worcester Polytechnic Institute,United States,1.9,3
127,University of Louisville,United States,1.8,1
127,University of Mississippi,United States,1.8,1
127,University of Oklahoma,United States,1.8,1
130,Iowa State University,United States,1.7,2
131,Northern Arizona University,United States,1.6,1
131,University of Hawaii at Manoa,United States,1.6,1
133,Colorado School of Mines,United States,1.5,1
133,Florida Atlantic University,United States,1.5,1
133,OHSU,United States,1.5,1
133,Rensselaer Polytechnic Institute,United States,1.5,2
133,University of Kansas,United States,1.5,2
138,Augusta University,United States,1.4,1
138,Kent State University,United States,1.4,2
138,Univ. of Missouri - Kansas City,United States,1.4,1
138,University of Alabama - Birmingham,United States,1.4,2
138,University of Massachusetts Boston,United States,1.4,1
138,University of Texas at San Antonio,United States,1.4,2
144,Baylor University,United States,1.3,1
144,Nova Southeastern University,United States,1.3,1
144,University of Texas - El Paso,United States,1.3,2
147,New York Tech,United States,1.2,1
147,Univ. of Louisiana - Lafayette,United States,1.2,3
147,University of Arkansas,United States,1.2,1
150,Florida Institute of Technology,United States,1.1,1
150,IUPUI,United States,1.1,1
150,Old Dominion University,United States,1.1,1
150,Southern Methodist University,United States,1.1,1
