model,domain,count
google/gemma-4-31b-it:free,arxiv.org,6
google/gemma-4-31b-it:free,github.com,2
google/gemma-4-31b-it:free,cognition.ai,1
google/gemma-4-31b-it:free,csrankings.org,1
google/gemma-4-31b-it:free,huggingface.co,1
google/gemma-4-31b-it:free,owasp.org,1
google/gemma-4-31b-it:free,portal.core.edu.au,1
nvidia/nemotron-3-ultra-550b-a55b:free,arxiv.org,41
nvidia/nemotron-3-ultra-550b-a55b:free,conf.researchr.org,3
nvidia/nemotron-3-ultra-550b-a55b:free,docs.github.com,2
nvidia/nemotron-3-ultra-550b-a55b:free,doi.org,2
nvidia/nemotron-3-ultra-550b-a55b:free,github.blog,2
nvidia/nemotron-3-ultra-550b-a55b:free,github.com,2
nvidia/nemotron-3-ultra-550b-a55b:free,2024.msrconf.org,1
nvidia/nemotron-3-ultra-550b-a55b:free,amazon.science,1
nvidia/nemotron-3-ultra-550b-a55b:free,ase2024.org,1
nvidia/nemotron-3-ultra-550b-a55b:free,aws.amazon.com,1
nvidia/nemotron-3-ultra-550b-a55b:free,cognition-labs.com,1
nvidia/nemotron-3-ultra-550b-a55b:free,core.edu.au,1
nvidia/nemotron-3-ultra-550b-a55b:free,csrankings.org,1
nvidia/nemotron-3-ultra-550b-a55b:free,deepmind.google,1
nvidia/nemotron-3-ultra-550b-a55b:free,docs.aws.amazon.com,1
nvidia/nemotron-3-ultra-550b-a55b:free,jetbrains.com,1
nvidia/nemotron-3-ultra-550b-a55b:free,tabnine.com,1
openai/gpt-oss-120b:free,csrankings.org,2
openai/gpt-oss-120b:free,doi.org,2
openai/gpt-oss-120b:free,arxiv.org,1
openai/gpt-oss-120b:free,ase2023.org,1
openai/gpt-oss-120b:free,conf.researchr.org,1
openai/gpt-oss-120b:free,core.edu.au,1
openai/gpt-oss-120b:free,msrconf.org,1
openai/gpt-oss-120b:free,neurips.cc,1
