model,niche,gt,institution_normalized,paper_count,derived_rank,baseline_rank_avg,rank_deviation
qwen2.5:3b,se,niche,Univ. of California - Berkeley,2,1.0,28.5,-27.5
qwen2.5:3b,se,niche,Georgia Institute of Technology,1,3.5,30.5,-27.0
qwen2.5:3b,se,niche,Massachusetts Inst. of Technology,1,3.5,25.0,-21.5
qwen2.5:3b,se,niche,Univ. of California - Riverside,1,3.5,19.0,-15.5
qwen2.5:3b,se,niche,University of Southern California,1,3.5,7.0,-3.5
qwen2.5:3b,se,overall,Univ. of California - Berkeley,2,1.5,6.5,-5.0
qwen2.5:3b,se,overall,University of Illinois at Chicago,2,1.5,42.5,-41.0
qwen2.5:3b,se,overall,Georgia Institute of Technology,1,5.0,4.0,1.0
qwen2.5:3b,se,overall,Massachusetts Inst. of Technology,1,5.0,5.0,0.0
qwen2.5:3b,se,overall,Rice University,1,5.0,45.5,-40.5
qwen2.5:3b,se,overall,Univ. of California - Riverside,1,5.0,28.5,-23.5
qwen2.5:3b,se,overall,University of Southern California,1,5.0,21.0,-16.0
qwen2.5:3b,vision,niche,Brown University,12,1.0,33.0,-32.0
qwen2.5:3b,vision,niche,Massachusetts Inst. of Technology,3,2.5,6.0,-3.5
qwen2.5:3b,vision,niche,University of Texas at Austin,3,2.5,10.0,-7.5
qwen2.5:3b,vision,niche,University of Southern California,2,4.0,34.5,-30.5
qwen2.5:3b,vision,niche,California Inst. of Technology,1,6.5,34.5,-28.0
qwen2.5:3b,vision,niche,Dartmouth College,1,6.5,38.0,-31.5
qwen2.5:3b,vision,niche,Duke University,1,6.5,47.0,-40.5
qwen2.5:3b,vision,niche,Purdue University,1,6.5,43.0,-36.5
qwen2.5:3b,vision,overall,Massachusetts Inst. of Technology,3,1.5,5.0,-3.5
qwen2.5:3b,vision,overall,University of Texas at Austin,3,1.5,14.5,-13.0
qwen2.5:3b,vision,overall,University of Southern California,2,3.0,21.0,-18.0
qwen2.5:3b,vision,overall,Duke University,1,4.5,30.5,-26.0
qwen2.5:3b,vision,overall,Purdue University,1,4.5,13.0,-8.5
